,,,,,CDR,,,,,,,,,,,,,,,,,,,,,,,,COIN BILL,,,,,,,,,,,,,,,,,,,,,,,,BILLING
,,,,,memory,,,,,,,,,,,,CPU,,,,,,,,,,,,memory,,,,,,,,,,,,CPU,,,,,,,,,,,,memory,,,,,,,,,,,,CPU,,,,,,,,,,,,
,t,,,,min,,,,max,,,,ave,,,,min,,,,max,,,,ave,,,,min,,,,max,,,,ave,,,,min,,,,max,,,,ave,,,,min,,,,max,,,,ave,,,,min,,,,max,,,,ave,,,,
,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,min,max,ave,err,
100 number of udrs 10 with complexity 10 ,1.7040839195,1.8325340748,1.7484300137,0.0606209946733 ,71.0,75.0,74.0,1.67332005307,81.0,84.0,84.0,1.3416407865,78.25,80.6666666667,79.25,1.07593628477 ,0.12,0.49,0.24,0.158524446064,15.31,21.72,18.1,2.68786532401,5.1675,7.52333333333,5.755,0.983139811466 ,21.0,62.0,54.0,18.4851291583,56.0,111.0,98.0,21.9931807613,38.75,85.0,70.6666666667,18.2791244016 ,0.0,0.12,0.0,0.0657267069006,12.89,22.85,21.25,3.97109178942,5.3425,7.91666666667,5.8025,1.10758894175 ,38.0,42.0,39.0,1.51657508881,42.0,78.0,67.0,13.2476412995,39.6666666667,53.0,48.25,4.93112281557 ,0.0,1.18,0.12,0.482617861253,6.29,11.96,9.18,2.01223010613,2.6875,3.77333333333,3.4125,0.530067933277
200 number of udrs 10 with complexity 10 ,0.3363759518,0.4096441269,0.3479270935,0.0305110024257 ,50.0,118.0,65.0,27.2818621065,50.0,120.0,82.0,29.7203633894,50.0,119.0,65.0,27.9159452643 ,0.0,0.24,0.12,0.12,1.67,1.95,1.93,0.139713993573,0.813333333333,1.095,0.975,0.121623279935 ,82.0,301.0,104.0,91.6760601248,104.0,319.0,222.0,78.8143387969,104.0,310.0,152.0,80.0771849877 ,0.0,2.18,0.0,0.94758640767,3.28,5.56,4.82,0.856808029841,1.74,2.78,2.73,0.441752192977 ,45.0,69.0,54.0,9.89949493661,47.0,77.0,54.0,11.882760622,46.0,74.3333333333,54.0,11.310270652 ,0.0,0.6,0.36,0.24883729624,0.61,1.32,0.74,0.319640422976,0.483333333333,0.66,0.605,0.0668809057621
300 number of udrs 10 with complexity 10 ,0.3566198349,0.4171540737,0.3972189426,0.0256265586291 ,74.0,165.0,124.0,33.3421654966,124.0,248.0,151.0,52.3707933872,108.5,220.333333333,129.0,47.4259656963 ,0.0,0.97,0.12,0.39696347439,1.82,6.37,2.05,1.9305258351,0.646666666667,3.67,1.085,1.24109752057 ,102.0,148.0,133.0,18.0776104616,120.0,261.0,229.0,53.6768106355,120.0,200.5,165.5,29.3907109286 ,0.0,0.12,0.0,0.0657267069006,3.04,7.13,4.75,1.97989141116,1.58,3.605,2.32666666667,0.813974815335 ,43.0,85.0,74.0,16.4103625798,67.0,93.0,76.0,11.3004424692,64.6666666667,90.3333333333,75.0,9.98359765927 ,0.0,0.37,0.12,0.135572858641,0.73,3.55,1.33,1.29022091132,0.483333333333,1.835,0.55,0.69026725903
400 number of udrs 10 with complexity 10 ,0.4225111008,0.4978089332,0.4695188999,0.029193142284 ,106.0,225.0,177.0,42.4970587218,177.0,321.0,277.0,59.2047295408,161.0,289.0,227.0,50.8448620806 ,0.0,0.6,0.24,0.246211291374,2.08,3.4,2.7,0.488978527136,0.813333333333,1.825,1.47,0.373402895305 ,34.0,166.0,118.0,50.5746972309,34.0,323.0,265.0,115.772621979,34.0,244.5,179.666666667,78.7473632716 ,0.0,0.0,0.0,0.0,3.04,3.39,3.08,0.145361618043,1.13,1.58,1.525,0.185418445684 ,55.0,85.0,62.0,13.1605471011,63.0,85.0,64.0,11.6918775225,60.5,85.0,62.5,11.9739300148 ,0.0,0.36,0.0,0.156460857725,0.48,2.06,0.86,0.60821048988,0.326666666667,1.03,0.43,0.280678740833
500 number of udrs 10 with complexity 10 ,0.4983379841,0.5634150505,0.5290310383,0.0295327476498 ,72.0,267.0,240.0,84.7213078275,72.0,357.0,251.0,104.433232259,72.0,285.0,247.333333333,88.0256906944 ,0.0,0.24,0.12,0.0848528137424,3.41,4.17,3.65,0.310209606557,1.17666666667,2.205,1.29666666667,0.467457662967 ,20.0,197.0,156.0,70.5513997026,163.0,320.0,265.0,65.952255458,130.0,265.0,177.0,58.2001336386 ,0.0,0.12,0.0,0.0657267069006,1.48,3.06,2.81,0.638145751377,0.976666666667,1.53,1.02333333333,0.264087527578 ,46.0,83.0,74.0,16.0468065359,52.0,85.0,77.0,15.7955689989,50.0,84.3333333333,76.3333333333,16.0986541881 ,0.0,0.12,0.12,0.0657267069006,0.49,1.21,0.97,0.289257670598,0.163333333333,0.665,0.49,0.188471925407
600 number of udrs 10 with complexity 10 ,0.5316150188,0.6521708965,0.5964770317,0.0452400257705 ,148.0,314.0,180.0,66.0355964613,148.0,314.0,311.0,72.3187389271,148.0,314.0,226.0,58.9406481132 ,0.0,0.49,0.0,0.212179169571,3.3,4.42,3.55,0.491355268619,1.29666666667,2.075,1.835,0.306699726479 ,28.0,317.0,160.0,123.354367576,28.0,463.0,208.0,161.755061745,28.0,414.333333333,208.0,141.868601177 ,0.0,0.12,0.0,0.0657267069006,2.79,3.67,3.32,0.360485783354,0.93,1.895,1.52,0.395965767319 ,38.0,75.0,55.0,17.5413796493,41.0,77.0,72.0,15.5241746963,40.3333333333,76.0,55.0,14.9766484902 ,0.0,0.37,0.0,0.160686029262,0.49,2.18,1.22,0.606671245404,0.245,0.8,0.61,0.226775709066
700 number of udrs 10 with complexity 10 ,0.6012830734,0.7309119701,0.6903069019,0.0498595248195 ,78.0,205.0,141.0,48.6754558273,178.0,382.0,295.0,76.2804037745,159.5,293.5,220.333333333,52.517589646 ,0.0,0.12,0.12,0.05366563146,3.86,5.2,4.53,0.565393668164,1.51,2.66,1.61,0.562112088466 ,74.0,273.0,122.0,77.429322611,238.0,507.0,276.0,123.013007442,134.0,358.5,226.333333333,84.0395079048 ,0.0,0.12,0.0,0.05366563146,2.92,8.41,3.05,2.37541154329,0.973333333333,2.80333333333,1.585,0.738733337846 ,44.0,72.0,58.0,11.0,62.0,78.0,70.0,6.32455532034,55.3333333333,73.3333333333,62.0,7.45952038971 ,0.0,0.12,0.12,0.05366563146,0.36,0.49,0.48,0.0676756972628,0.16,0.305,0.24,0.0628887907341
800 number of udrs 10 with complexity 10 ,0.6924071312,0.8065788746,0.7911369801,0.046383802381 ,61.0,449.0,327.0,165.596497548,229.0,470.0,327.0,88.5590198681,173.0,459.5,327.0,110.370311024 ,0.0,0.62,0.12,0.257526697645,4.43,5.79,5.25,0.50962731481,1.80333333333,2.935,2.795,0.515790385934 ,183.0,269.0,192.0,35.0713558335,237.0,492.0,359.0,101.061862243,226.0,374.666666667,300.333333333,62.8717389258 ,0.0,1.23,0.12,0.52208236898,2.2,3.63,3.31,0.561916363883,0.98,2.06,1.715,0.439985795225 ,41.0,66.0,62.0,10.8074048689,54.0,72.0,67.0,6.87749954562,51.3333333333,67.5,64.0,7.70587798733 ,0.0,0.25,0.12,0.122556109599,0.25,0.73,0.6,0.217209576216,0.163333333333,0.425,0.283333333333,0.114981882631
100 number of udrs 20 with complexity 10 ,0.5847108364,0.6890559196,0.6435079574,0.0446620843834 ,48.0,90.0,88.0,18.1466250306,88.0,93.0,91.0,2.07364413533,77.0,91.6666666667,88.6666666667,5.88123191933 ,0.12,0.24,0.12,0.0657267069006,5.29,13.31,6.95,3.31312541266,2.43666666667,4.71,3.56666666667,0.930308789835 ,27.0,163.0,42.0,57.5213004025,53.0,180.0,89.0,51.9951920854,48.3333333333,174.333333333,68.3333333333,52.3649585972 ,0.0,0.12,0.0,0.0657267069006,10.43,15.24,13.79,1.93637548012,3.47666666667,6.01333333333,5.16,0.938534910261 ,57.0,67.0,62.0,4.52769256907,64.0,69.0,66.0,2.12132034356,61.6666666667,68.3333333333,63.3333333333,2.73861278753 ,0.12,0.12,0.12,0.0,0.83,4.92,0.85,1.81313816352,0.396666666667,1.76,0.56,0.564802817116
200 number of udrs 20 with complexity 10 ,0.5768768787,0.6146099567,0.5833230019,0.0148165260245 ,42.0,95.0,59.0,22.3203942618,60.0,152.0,95.0,33.3811323954,59.5,95.0,78.6666666667,14.288495761 ,0.12,0.24,0.12,0.05366563146,2.66,3.03,2.94,0.141244468918,1.05,1.635,1.13333333333,0.281233394572 ,27.0,235.0,59.0,95.7094561681,64.0,289.0,252.0,110.310017677,51.5,243.5,201.666666667,93.9583684405 ,0.0,2.55,0.12,1.08124927746,3.28,6.43,5.28,1.16040079283,2.14333333333,2.915,2.32333333333,0.352381579794 ,61.0,92.0,75.0,11.8025420991,69.0,100.0,77.0,12.029131307,66.3333333333,96.6666666667,76.0,11.6795167328 ,0.0,0.61,0.12,0.262545234198,0.49,1.09,0.61,0.23082460874,0.363333333333,0.61,0.403333333333,0.10256705124
